threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.05,0.1,13805.556666666664,94,307.0716666666631,0,2.2242613904014723,0.9479963190596281,4
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.05,0.2,13805.556666666664,94,2174.9199999999964,4,15.753946418193424,3.3376028406596667,32
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.05,0.2,13805.556666666664,94,2174.9199999999964,4,15.753946418193424,3.3376028406596667,32
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.05,0.2,13805.556666666664,94,872.2400000000016,3,6.318035708810016,4.355012907376948,11
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.05,0.2,13805.556666666664,94,740.1266666666652,0,5.361078039349847,-0.002770653187296455,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.05,0.2,13805.556666666664,94,775.1783333333315,2,5.614973391149011,4.602256533191667,11
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.05,0.2,13805.556666666664,94,405.48999999999796,1,2.9371506690421856,1.5351370391488235,7
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.02,0.1,13561.263333333336,99,1835.7416666666704,5,13.536656737241074,1.5366982098091524,12
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.02,0.1,13561.263333333336,99,1814.453333333331,4,13.379677753719582,1.8048658637797057,12
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.02,0.1,13561.263333333336,99,493.76000000000386,1,3.6409587209058234,0.45136343479259,7
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.02,0.1,13561.263333333336,99,79.93166666666548,0,0.5894116551088194,1.89684688375859,8
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.02,0.1,13561.263333333336,99,169.95833333333758,1,1.2532632775855264,1.4943869359884687,7
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.02,0.1,13561.263333333336,99,102.05000000000655,0,0.7525110123713145,1.9997396034133708,7
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.02,0.2,13561.263333333336,99,2068.861666666671,5,15.255670624590314,1.9009637534963504,17
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.02,0.2,13561.263333333336,99,2160.7300000000087,5,15.933102594424032,1.9684067992122245,20
